reader_id,model_key,generator_name,n
professor_1,gemini,Nano Banana,25
professor_1,gpt,ChatGPT Images 2.0,25
professor_1,roentgen,RoentGen-v2,25
professor_1,sana,Sana,25
professor_2,gemini,Nano Banana,25
professor_2,gpt,ChatGPT Images 2.0,25
professor_2,roentgen,RoentGen-v2,25
professor_2,sana,Sana,25
professor_3,gemini,Nano Banana,25
professor_3,gpt,ChatGPT Images 2.0,25
professor_3,roentgen,RoentGen-v2,25
professor_3,sana,Sana,25
professor_4,gemini,Nano Banana,25
professor_4,gpt,ChatGPT Images 2.0,25
professor_4,roentgen,RoentGen-v2,25
professor_4,sana,Sana,25
